zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
25193,*,*,*
25201,*,*,*
25202,41,*,*
25203,*,*,*
25204,*,*,*
25205,*,*,*
25206,*,*,*
25208,*,*,*
25209,18,*,*
25211,*,*,*
25213,134,*,*
25214,11,*,*
25234,28,*,*
25235,19,*,*
25239,58,*,*
25241,37,*,*
25243,30,*,*
25244,14,*,*
25245,21,*,*
25247,13,*,*
25248,66,*,*
25251,12,*,*
25252,31,*,*
25253,32,*,*
25259,17,*,*
25260,41,*,*
25261,11,*,*
25262,16,*,*
25264,*,*,*
25265,35,*,*
25266,23,*,*
25267,23,*,*
25268,18,*,*
25270,30,*,*
25271,180,169,"$1,062"
25275,40,*,*
25276,245,*,*
25285,*,*,*
25286,35,*,*
25287,*,*,*
25301,144,*,*
25302,618,606,"$1,035"
25303,218,*,*
25304,276,251,"$1,051"
25306,182,*,*
25309,330,*,*
25311,395,371,$992
25312,200,*,*
25313,345,*,*
25314,500,461,"$1,006"
25315,105,*,*
25320,151,*,*
25330,*,*,*
25357,*,*,*
25360,*,*,*
25364,*,*,*
25387,217,*,*
25396,*,*,*
25401,575,560,$930
25402,*,*,*
25403,488,469,$873
25404,730,709,$884
25405,383,*,*
25411,378,*,*
25413,309,293,$934
25414,625,598,$860
25419,329,*,*
25420,141,*,*
25421,*,*,*
25422,61,*,*
25425,434,413,$854
25427,502,482,$937
25428,352,341,$906
25430,275,260,$860
25431,*,*,*
25432,*,*,*
25434,67,*,*
25437,12,*,*
25438,207,*,*
25441,*,*,*
25442,62,*,*
25443,329,312,$895
25444,23,*,*
25446,49,*,*
25501,23,*,*
25502,22,*,*
25503,21,*,*
25504,340,*,*
25505,*,*,*
25506,81,*,*
25507,27,*,*
25508,200,*,*
25510,155,*,*
25511,14,*,*
25512,18,*,*
25514,91,*,*
25515,52,*,*
25517,37,*,*
25520,25,*,*
25521,29,*,*
25523,42,*,*
25524,80,*,*
25526,680,643,"$1,106"
25529,17,*,*
25530,149,*,*
25534,*,*,*
25535,47,*,*
25537,45,*,*
